Category	Score	Query_File_Name	ClassificationGroup
ES	4.266619682312012	iPS-Retro-Edom-iPS-2_P31.txt	10
Somatic	-11.60876178741455	iPS-Retro-Edom-iPS-2_P31.txt	10
EC	1.970386028289795	iPS-Retro-Edom-iPS-3_P29.txt	10
iPS	5.584994316101074	iPS-Retro-Edom-iPS-3_P29.txt	10
ES	4.4500226974487305	iPS-Retro-Edom-iPS-3_P29.txt	10
Somatic	-10.714165687561035	iPS-Retro-Edom-iPS-3_P29.txt	10
EC	1.7955628633499146	iPS-Retro-HDF51-iPS-1_P25.txt	10
iPS	6.889530658721924	iPS-Retro-HDF51-iPS-1_P25.txt	10
ES	3.641998767852783	iPS-Retro-HDF51-iPS-1_P25.txt	10
Somatic	-11.033636093139648	iPS-Retro-HDF51-iPS-1_P25.txt	10
EC	2.023521661758423	iPS-Retro-HDF51-iPS-10_P37.txt	10
iPS	6.695461750030518	iPS-Retro-HDF51-iPS-10_P37.txt	10
ES	3.604952812194824	iPS-Retro-HDF51-iPS-10_P37.txt	10
Somatic	-11.059391021728516	iPS-Retro-HDF51-iPS-10_P37.txt	10
EC	1.8656529188156128	iPS-Retro-HDF51-iPS-11_P33.txt	10
iPS	6.961472988128662	iPS-Retro-HDF51-iPS-11_P33.txt	10
ES	3.5445854663848877	iPS-Retro-HDF51-iPS-11_P33.txt	10
Somatic	-11.107263565063477	iPS-Retro-HDF51-iPS-11_P33.txt	10
EC	1.9371850490570068	iPS-Retro-HDF51-iPS-12_P33.txt	10
iPS	6.939095497131348	iPS-Retro-HDF51-iPS-12_P33.txt	10
ES	3.596132278442383	iPS-Retro-HDF51-iPS-12_P33.txt	10
Somatic	-11.186203956604004	iPS-Retro-HDF51-iPS-12_P33.txt	10
EC	1.7587519884109497	iPS-Retro-HDF51-iPS-2_P34.txt	10
iPS	6.920628547668457	iPS-Retro-HDF51-iPS-2_P34.txt	10
ES	3.8747365474700928	iPS-Retro-HDF51-iPS-2_P34.txt	10
Somatic	-11.266511917114258	iPS-Retro-HDF51-iPS-2_P34.txt	10
EC	1.8911737203598022	iPS-Retro-HDF51-iPS-3_P34.txt	10
iPS	6.7311530113220215	iPS-Retro-HDF51-iPS-3_P34.txt	10
ES	4.039937496185303	iPS-Retro-HDF51-iPS-3_P34.txt	10
Somatic	-11.362014770507812	iPS-Retro-HDF51-iPS-3_P34.txt	10
EC	1.8633760213851929	iPS-Retro-HDF51-iPS-5_P34.txt	10
iPS	6.561506271362305	iPS-Retro-HDF51-iPS-5_P34.txt	10
ES	3.725641965866089	iPS-Retro-HDF51-iPS-5_P34.txt	10
Somatic	-10.845868110656738	iPS-Retro-HDF51-iPS-5_P34.txt	10
EC	1.989699125289917	iPS-Retro-HDF51-iPS-6_P33.txt	10
iPS	6.593136787414551	iPS-Retro-HDF51-iPS-6_P33.txt	10
ES	3.7978060245513916	iPS-Retro-HDF51-iPS-6_P33.txt	10
Somatic	-11.0958833694458	iPS-Retro-HDF51-iPS-6_P33.txt	10
EC	1.8367186784744263	iPS-Retro-HDF51-iPS-7_P33.txt	10
iPS	7.093040943145752	iPS-Retro-HDF51-iPS-7_P33.txt	10
ES	3.957960605621338	iPS-Retro-HDF51-iPS-7_P33.txt	10
Somatic	-11.576007843017578	iPS-Retro-HDF51-iPS-7_P33.txt	10
EC	1.9615343809127808	iPS-Retro-HDF51-iPS-9_P33.txt	10
iPS	6.816771507263184	iPS-Retro-HDF51-iPS-9_P33.txt	10
ES	3.905865430831909	iPS-Retro-HDF51-iPS-9_P33.txt	10
Somatic	-11.373262405395508	iPS-Retro-HDF51-iPS-9_P33.txt	10
EC	1.9897964000701904	iPS-Retro-MRC-iPS-11_P4.txt	10
iPS	6.669856548309326	iPS-Retro-MRC-iPS-11_P4.txt	10
ES	3.592808961868286	iPS-Retro-MRC-iPS-11_P4.txt	10
Somatic	-10.900782585144043	iPS-Retro-MRC-iPS-11_P4.txt	10
EC	1.9911291599273682	iPS-Retro-MRC-iPS-19_P4.txt	10
iPS	6.244649410247803	iPS-Retro-MRC-iPS-19_P4.txt	10
ES	3.040436267852783	iPS-Retro-MRC-iPS-19_P4.txt	10
Somatic	-9.957015037536621	iPS-Retro-MRC-iPS-19_P4.txt	10
EC	1.779127597808838	iPS-Retro-MRC-iPS-25_P30.txt	10
iPS	5.422268867492676	iPS-Retro-MRC-iPS-25_P30.txt	10
ES	4.680967330932617	iPS-Retro-MRC-iPS-25_P30.txt	10
Somatic	-10.550301551818848	iPS-Retro-MRC-iPS-25_P30.txt	10
EC	2.0090816020965576	iPS-Retro-MRC-iPS-40_P30.txt	10
iPS	6.205167293548584	iPS-Retro-MRC-iPS-40_P30.txt	10
ES	3.556666135787964	iPS-Retro-MRC-iPS-40_P30.txt	10
Somatic	-10.499879837036133	iPS-Retro-MRC-iPS-40_P30.txt	10
EC	2.2450714111328125	iPS-Retro-PAE-iPS-1_P31.txt	10
iPS	6.8389410972595215	iPS-Retro-PAE-iPS-1_P31.txt	10
ES	3.9818837642669678	iPS-Retro-PAE-iPS-1_P31.txt	10
Somatic	-11.750455856323242	iPS-Retro-PAE-iPS-1_P31.txt	10
EC	2.0328385829925537	iPS-Retro-PAE-iPS-11_P30.txt	10
iPS	6.855457305908203	iPS-Retro-PAE-iPS-11_P30.txt	10
ES	4.293004035949707	iPS-Retro-PAE-iPS-11_P30.txt	10
Somatic	-11.852313995361328	iPS-Retro-PAE-iPS-11_P30.txt	10
EC	2.2238965034484863	iPS-Retro-PAE-iPS-4_P31.txt	10
iPS	7.14320707321167	iPS-Retro-PAE-iPS-4_P31.txt	10
ES	4.384769439697266	iPS-Retro-PAE-iPS-4_P31.txt	10
Somatic	-12.391884803771973	iPS-Retro-PAE-iPS-4_P31.txt	10
EC	2.2784624099731445	iPS-Retro-PAE-iPS-5_P31.txt	10
iPS	6.765944004058838	iPS-Retro-PAE-iPS-5_P31.txt	10
ES	3.9474101066589355	iPS-Retro-PAE-iPS-5_P31.txt	10
Somatic	-11.676084518432617	iPS-Retro-PAE-iPS-5_P31.txt	10
EC	2.7652623653411865	iPS-Retro-UtE-iPS-11_P31.txt	10
iPS	6.35062313079834	iPS-Retro-UtE-iPS-11_P31.txt	10
ES	3.8247039318084717	iPS-Retro-UtE-iPS-11_P31.txt	10
Somatic	-11.6574068069458	iPS-Retro-UtE-iPS-11_P31.txt	10
EC	2.257223606109619	iPS-Retro-UtE-iPS-4_P30.txt	10
iPS	6.757137298583984	iPS-Retro-UtE-iPS-4_P30.txt	10
ES	4.348581790924072	iPS-Retro-UtE-iPS-4_P30.txt	10
Somatic	-12.042779922485352	iPS-Retro-UtE-iPS-4_P30.txt	10
EC	1.9061646461486816	iPS-Retro-UtE-iPS-6_P30.txt	10
iPS	6.838920593261719	iPS-Retro-UtE-iPS-6_P30.txt	10
ES	5.086921215057373	iPS-Retro-UtE-iPS-6_P30.txt	10
